Time, DR, DN, RN, Euclidian
4.690, 1.43, 0.898, 1.297, 2.129
4.700, 1.464, 0.897, 1.378, 2.201
4.710, 1.427, 0.885, 1.271, 2.105
4.720, 1.391, 0.937, 1.26, 2.097
4.730, 1.361, 0.905, 1.224, 2.041
4.740, 1.432, 0.957, 1.291, 2.152
4.750, 1.451, 0.932, 1.265, 2.138
4.760, 1.391, 0.878, 1.295, 2.093
4.770, 1.408, 0.903, 1.348, 2.148
4.780, 1.41, 0.921, 1.287, 2.119
4.790, 1.42, 0.898, 1.265, 2.103
4.800, 1.401, 0.891, 1.306, 2.112
4.810, 1.456, 0.946, 1.324, 2.183
4.820, 1.401, 0.898, 1.316, 2.121
4.830, 1.374, 0.888, 1.289, 2.082
4.840, 1.41, 0.839, 1.333, 2.113
4.850, 1.444, 0.829, 1.33, 2.131
4.860, 1.396, 0.881, 1.29, 2.095
4.870, 1.392, 0.881, 1.288, 2.091
4.880, 1.444, 0.894, 1.325, 2.154
4.890, 1.406, 0.852, 1.299, 2.095
4.900, 1.436, 0.856, 1.28, 2.105
4.910, 1.387, 0.872, 1.276, 2.076
4.920, 1.373, 0.87, 1.288, 2.073
4.930, 1.411, 0.891, 1.295, 2.112
4.940, 1.402, 0.865, 1.329, 2.116
4.950, 1.398, 0.913, 1.237, 2.078
4.960, 1.367, 0.878, 1.261, 2.056
4.970, 1.429, 0.872, 1.311, 2.126
4.980, 1.421, 0.881, 1.323, 2.132
4.990, 1.41, 0.902, 1.252, 2.090
5.000, 1.381, 0.886, 1.258, 2.067
5.010, 1.42, 0.895, 1.257, 2.097
5.020, 1.404, 0.918, 1.28, 2.110
5.030, 1.41, 0.88, 1.247, 2.077
5.040, 1.457, 0.893, 1.282, 2.136
5.050, 1.428, 0.893, 1.251, 2.098
5.060, 1.44, 0.872, 1.297, 2.125
5.070, 1.417, 0.885, 1.287, 2.108
5.080, 1.383, 0.911, 1.296, 2.102
5.090, 1.427, 0.893, 1.301, 2.127
5.100, 1.417, 0.905, 1.282, 2.114
5.110, 1.399, 0.908, 1.304, 2.117
5.120, 1.374, 0.867, 1.282, 2.069
5.130, 1.395, 0.884, 1.251, 2.071
5.140, 1.379, 0.903, 1.301, 2.099
5.150, 1.476, 0.925, 1.333, 2.193
5.160, 1.435, 0.894, 1.307, 2.136
5.170, 1.428, 0.893, 1.251, 2.098
5.180, 1.444, 0.905, 1.271, 2.125
5.190, 1.421, 0.915, 1.296, 2.129
5.200, 1.422, 0.9, 1.316, 2.136
5.210, 1.454, 0.921, 1.285, 2.147
5.220, 1.396, 0.901, 1.271, 2.091
5.230, 1.434, 0.911, 1.266, 2.118
5.240, 1.445, 0.906, 1.284, 2.134
5.250, 1.394, 0.885, 1.287, 2.093
5.260, 1.37, 0.893, 1.196, 2.026
5.270, 1.381, 0.882, 1.282, 2.080
5.280, 1.421, 0.858, 1.22, 2.060
5.290, 1.335, 0.918, 1.286, 2.068
5.300, 1.446, 0.897, 1.349, 2.171
5.310, 1.417, 0.865, 1.325, 2.124
