Time, DR, DN, RN, Euclidian
3.350, 1.592, 0.819, 1.375, 2.257
3.360, 1.631, 0.814, 1.409, 2.303
3.370, 1.596, 0.803, 1.371, 2.252
3.380, 1.671, 0.845, 1.413, 2.345
3.390, 1.601, 0.803, 1.388, 2.265
3.400, 1.591, 0.83, 1.365, 2.254
3.410, 1.571, 0.801, 1.366, 2.230
3.420, 1.571, 0.795, 1.422, 2.263
3.430, 1.594, 0.836, 1.377, 2.266
3.440, 1.564, 0.761, 1.389, 2.225
3.450, 1.563, 0.809, 1.367, 2.228
3.460, 1.598, 0.812, 1.387, 2.266
3.470, 1.59, 0.8, 1.349, 2.233
3.480, 1.624, 0.795, 1.413, 2.294
3.490, 1.58, 0.782, 1.346, 2.218
3.500, 1.598, 0.84, 1.388, 2.277
3.510, 1.563, 0.792, 1.349, 2.211
3.520, 1.587, 0.801, 1.395, 2.259
3.530, 1.609, 0.818, 1.415, 2.293
3.540, 1.605, 0.817, 1.376, 2.266
3.550, 1.582, 0.788, 1.358, 2.228
3.560, 1.58, 0.815, 1.358, 2.237
3.570, 1.561, 0.811, 1.379, 2.235
3.580, 1.589, 0.831, 1.405, 2.278
3.590, 1.585, 0.771, 1.355, 2.223
3.600, 1.574, 0.817, 1.398, 2.258
3.610, 1.634, 0.784, 1.45, 2.321
3.620, 1.595, 0.841, 1.359, 2.257
3.630, 1.566, 0.84, 1.385, 2.253
3.640, 1.623, 0.828, 1.414, 2.306
3.650, 1.555, 0.789, 1.364, 2.213
3.660, 1.577, 0.827, 1.377, 2.250
3.670, 1.619, 0.784, 1.408, 2.284
3.680, 1.621, 0.781, 1.424, 2.294
3.690, 1.61, 0.81, 1.439, 2.306
3.700, 1.577, 0.823, 1.382, 2.252
3.710, 1.578, 0.808, 1.374, 2.242
3.720, 1.579, 0.829, 1.363, 2.244
3.730, 1.603, 0.818, 1.361, 2.256
3.740, 1.612, 0.857, 1.383, 2.290
3.750, 1.65, 0.836, 1.415, 2.328
3.760, 1.585, 0.818, 1.374, 2.251
3.770, 1.566, 0.806, 1.376, 2.235
3.780, 1.546, 0.804, 1.398, 2.234
3.790, 1.568, 0.807, 1.358, 2.225
3.800, 1.557, 0.792, 1.338, 2.200
3.810, 1.554, 0.828, 1.376, 2.234
3.820, 1.57, 0.861, 1.348, 2.241
3.830, 1.607, 0.804, 1.402, 2.279
3.840, 1.618, 0.808, 1.389, 2.280
3.850, 1.573, 0.799, 1.389, 2.245
3.860, 1.554, 0.8, 1.374, 2.223
3.870, 1.573, 0.812, 1.399, 2.256
3.880, 1.587, 0.797, 1.359, 2.236
3.890, 1.551, 0.816, 1.35, 2.212
3.900, 1.553, 0.822, 1.356, 2.219
3.910, 1.608, 0.805, 1.411, 2.285
3.920, 1.618, 0.797, 1.402, 2.284
3.930, 1.593, 0.832, 1.426, 2.294
3.940, 1.565, 0.802, 1.374, 2.231
3.950, 1.618, 0.802, 1.391, 2.279
3.960, 1.65, 0.795, 1.421, 2.318
3.970, 1.591, 0.829, 1.387, 2.267
3.980, 1.552, 0.815, 1.339, 2.205
3.990, 1.577, 0.761, 1.382, 2.230
4.000, 1.589, 0.807, 1.383, 2.255
4.010, 1.563, 0.802, 1.399, 2.245
4.020, 1.614, 0.828, 1.381, 2.279
4.030, 1.562, 0.789, 1.388, 2.233
4.040, 1.587, 0.825, 1.385, 2.262
4.050, 1.528, 0.813, 1.349, 2.194
4.060, 1.565, 0.824, 1.33, 2.212
4.070, 1.609, 0.819, 1.372, 2.267
4.080, 1.561, 0.791, 1.355, 2.213
4.090, 1.571, 0.843, 1.359, 2.241
4.100, 1.602, 0.843, 1.358, 2.263
4.110, 1.605, 0.828, 1.372, 2.268
4.120, 1.524, 0.825, 1.327, 2.182
4.130, 1.547, 0.789, 1.359, 2.205
4.140, 1.598, 0.82, 1.399, 2.276
4.150, 1.546, 0.797, 1.354, 2.204
4.160, 1.602, 0.8, 1.359, 2.247
4.170, 1.563, 0.798, 1.375, 2.229
4.180, 1.562, 0.795, 1.367, 2.222
4.190, 1.566, 0.787, 1.335, 2.203
4.200, 1.61, 0.788, 1.4, 2.274
4.210, 1.582, 0.778, 1.409, 2.256
4.220, 1.591, 0.803, 1.32, 2.217
4.230, 1.582, 0.801, 1.363, 2.236
4.240, 1.612, 0.81, 1.388, 2.276
4.250, 1.567, 0.786, 1.382, 2.232
4.260, 1.574, 0.794, 1.38, 2.238
4.270, 1.641, 0.779, 1.379, 2.280
4.280, 1.618, 0.802, 1.412, 2.292
4.290, 1.61, 0.773, 1.413, 2.277
4.300, 1.577, 0.806, 1.391, 2.251
4.310, 1.618, 0.82, 1.369, 2.272
